,accuracy,precision,X,Y,X_Class1,X_Class2,Y_Class1,Y_Class2
0,0.97,0.9929078014184397,0.28288568600637637,0.23338077823510986,-1.5638362610698429,1.2299584349670807,1.2445157805620493,-1.0197675805988455
1,0.96,0.9777777777777777,0.24579147122856143,0.2645479192810869,-1.5279962110515901,0.9486549440373684,1.2210577494741357,-1.3784263909044179
2,0.9833333333333333,0.9797297297297297,0.250304025235757,0.26694568222980736,-1.2166185122678297,1.1645169553867818,1.4152593295375242,-1.271001266354192
3,0.9933333333333333,0.9932885906040269,0.026913737795716434,0.474266797753901,-0.43451480183726876,0.028853792092893956,2.449767788974766,-2.3882693739924687
4,0.9866666666666667,0.9808917197452229,0.032331358565964634,0.4650420401846618,-0.35373852443008635,0.24866786336110192,2.10469602874839,-2.376106011707842
5,0.9733333333333334,0.9794520547945206,0.2567777936790149,0.25721022756708656,-1.1721679183821752,1.3759171390992067,1.316727541238492,-1.3322831466488174
6,0.9766666666666667,0.9685534591194969,0.27474229862049365,0.25688112602450613,-1.292094721688511,1.480204723667489,1.403937399987643,-1.2309804967503808
7,0.9966666666666667,1.0,0.04016263541289873,0.4706302873826562,-0.544388493298658,0.12930388444370436,2.573014616464897,-2.3065745646110485
8,0.99,1.0,0.04119889968721994,0.4594774003762673,-0.4321932811906549,0.33495159380967465,2.165307154571986,-2.443215790580621
9,0.9933333333333333,0.9933333333333333,0.2618354476728888,0.2561387646431307,-1.4198569284662268,1.1597594068211143,1.1766211490976124,-1.3845246121489876
10,0.9866666666666667,0.9875776397515528,0.2565772521607006,0.2567620106473755,-1.4092766595325978,1.1700120488814556,1.1514552987604818,-1.5290290723379985
11,0.99,1.0,0.04264175491504702,0.46034639243328085,-0.5031675581900401,0.3122728448427229,2.210598801666248,-2.3999966441003644
12,0.9933333333333333,0.9936305732484076,0.050893423020357056,0.46361648883007905,-0.49171139200815805,0.42052601255911104,2.078450595332387,-2.419576950150525
13,0.9766666666666667,0.993006993006993,0.256669746503426,0.2629013470405974,-1.41075408560994,1.2539132427380126,1.346819649059324,-1.2083687392320863
14,0.99,0.9871794871794872,0.2626581177066001,0.2742925083864506,-1.2403267854628424,1.4860959705270957,1.5411755945242793,-1.2162169198614299
15,0.9866666666666667,1.0,0.034953348796441325,0.46229497603415903,-0.4271049773276573,0.18260879286823656,2.2856708934873824,-2.3330469094582433
16,0.98,0.9929577464788732,0.03763611366429693,0.45631440689691527,-0.26406549742785906,0.25860950819248835,2.3857180334255763,-2.1695362435356547
17,0.95,0.972027972027972,0.26614404715658535,0.24880581089911977,-1.08577755486056,1.4857304377182652,1.3105086974210478,-1.2935244799445464
18,0.9766666666666667,0.9735099337748344,0.2736430079066162,0.2532051374717698,-1.2782138454476166,1.5618748127629536,1.255681495864311,-1.2019708024406452
19,0.98,0.9666666666666667,0.03364503327354446,0.46787652171290206,-0.09826823810407269,0.591269407796983,2.3512010495257245,-2.255396662854125
20,0.99,0.9798657718120806,0.03629595861848459,0.467429019028608,-0.6888026767476118,-0.044077316082270904,2.4021039260825887,-2.3104938967460784
